Algorithm,Pattern,Size,AverageTime(s),AverageMemory(B)
library_sort,ascending,1000,0.000999642,0
library_sort,ascending,10000,0.0997404,0
library_sort,ascending,100000,9.76579,81100
library_sort,ascending,500000,242.646,6765772
library_sort,ascending,1000000,952.263,5038080
library_sort,descending,1000,0.00380528,0
library_sort,descending,10000,0.311971,0
library_sort,descending,100000,29.6916,108134
library_sort,descending,500000,765.874,6758400
library_sort,descending,1000000,3165.13,2297856
library_sort,partial,1000,0.00174984,0
library_sort,partial,10000,0.167886,0
library_sort,partial,100000,16.5516,108134
library_sort,partial,500000,390.387,684851
library_sort,partial,1000000,1567.13,7286784
library_sort,random,1000,0.00235568,0
library_sort,random,10000,0.199294,0
library_sort,random,100000,19.2694,108134
library_sort,random,500000,515.158,760945
library_sort,random,1000000,2226.26,2498560
library_sort,reverse,1000,0.00395028,0
library_sort,reverse,10000,0.316717,0
library_sort,reverse,100000,31.5415,108134
library_sort,reverse,500000,827.121,6758400
library_sort,reverse,1000000,3512.85,2297856
